"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"26","RT @ApexLegends_BR: Need the Season 1: Wild Frontier Battle Pass in #ApexLegends?

<U+0001F501> RETWEET &amp; LIKE this post 
<U+2714> Follow @DEXB0T &amp; @ApexLege…",FALSE,0,NA,2019-03-19 16:20:04,FALSE,NA,"1108040450265354240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Supreme677",30,TRUE,FALSE,NA,NA
"27","RT @WisethugTV: <U+0001F3C6> #Concours <U+0001F3C6>

Pour fêter le début de la Saison 1 de #ApexLegends on vous fait gagner 5x Passes de combat !

Pour participe…",FALSE,0,NA,2019-03-19 16:20:00,FALSE,NA,"1108040435585437696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HWK01",2008,TRUE,FALSE,NA,NA
"28","RT @MrExclusive666: Wow, thanks for the follows everybody! Let’s do a crazy amount of #f4f 

#SupportAllStreamers #SupportSmallStreamers #S…",FALSE,0,NA,2019-03-19 16:20:00,FALSE,NA,"1108040434914344961",NA,"<a href=""https://tweepi.com/"" rel=""nofollow"">Tweepi</a>","MagicKupoo",2,TRUE,FALSE,NA,NA
"29","RT @WisethugTV: <U+0001F3C6> #Concours <U+0001F3C6>

Pour fêter le début de la Saison 1 de #ApexLegends on vous fait gagner 5x Passes de combat !

Pour participe…",FALSE,0,NA,2019-03-19 16:19:59,FALSE,NA,"1108040431227547648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hakai_OW",2008,TRUE,FALSE,NA,NA
"30","RT @GWFlorian: <U+0001F3C6> #Concours <U+0001F3C6>

Vous l'attendiez depuis un moment, le voici bientôt arrivé ! Un passe de combat #ApexLegends d'une valeur de…",FALSE,0,NA,2019-03-19 16:19:58,FALSE,NA,"1108040425875693568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GrvTAzer",1181,TRUE,FALSE,NA,NA
"31","RT @ApexLegendsJPN: <U+3010><U+30B7><U+30FC><U+30BA><U+30F3>1<U+30D0><U+30C8><U+30EB><U+30D1><U+30B9><U+3011><U+3092><U+30D5><U+30A9><U+30ED><U+30FC>&amp;RT<U+3067><U+30D7><U+30EC><U+30BC><U+30F3><U+30C8>!<U+304A><U+53CB><U+9054><U+306B><U+3082><U+540C><U+6642><U+5F53><U+9078><U+306E><U+30C1><U+30E3><U+30F3><U+30B9>!
<U+5168><U+30D7><U+30E9><U+30C3><U+30C8><U+30D5><U+30A9><U+30FC><U+30E0>(PC/PS4/Xbox)<U+5BFE><U+8C61><U+0001F4E3>

<U+0001F501><U+3053><U+306E><U+30A2><U+30AB><U+30A6><U+30F3><U+30C8><U+3092><U+30D5><U+30A9><U+30ED><U+30FC><U+3057><U+3066><U+30C4><U+30A4><U+30FC><U+30C8><U+3092>RT
<U+0001F465><U+540C><U+6642><U+5F53><U+9078><U+3092><U+5E0C><U+671B><U+3059><U+308B><U+53CB><U+4EBA><U+306E>TwitterID<U+3092><U+30EA><U+30D7><U+30E9>…",FALSE,0,NA,2019-03-19 16:19:57,FALSE,NA,"1108040421979021317",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aki_po_yo_13",727,TRUE,FALSE,NA,NA
"32","RT @Aleks21_: <U+0001F381> #Concours <U+0001F381> #Giveaway <U+0001F381>

Pour la sortie de la Saison 1 d'#ApexLegends je vous fait gagner un passe de combat soit 1000 Apex…",FALSE,0,NA,2019-03-19 16:19:56,FALSE,NA,"1108040415159177216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SayoudMaori",24,TRUE,FALSE,NA,NA
"33","RT @Shaki44_Twitch: <U+0001F3C6> #Concours <U+0001F3C6>

Car même si je n'ai pas de Skill j'aime vous faire plaisir alors pour fêter le début de la Saison 1 d' #…",FALSE,0,NA,2019-03-19 16:19:53,FALSE,NA,"1108040405747200001",NA,"<a href=""https://www.google.com"" rel=""nofollow"">TweetDeck for dummies</a>","dogiaf",10,TRUE,FALSE,NA,NA
"34","RT @WisethugTV: <U+0001F3C6> #Concours <U+0001F3C6>

Pour fêter le début de la Saison 1 de #ApexLegends on vous fait gagner 5x Passes de combat !

Pour participe…",FALSE,0,NA,2019-03-19 16:19:53,FALSE,NA,"1108040405721985026",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ilyess_aniikizo",2008,TRUE,FALSE,NA,NA
"35","RT @WisethugTV: <U+0001F3C6> #Concours <U+0001F3C6>

Pour fêter le début de la Saison 1 de #ApexLegends on vous fait gagner 5x Passes de combat !

Pour participe…",FALSE,0,NA,2019-03-19 16:19:48,FALSE,NA,"1108040384620433408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Juienlesage",2008,TRUE,FALSE,NA,NA
